Metric,Value
timing__hold__wns,-0.6565375096075927
timing__setup__wns,0.0
timing__hold_vio__count,270
timing__hold_r2r__ws,0.462781
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,15.646920
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 2920.0 3520.0
design__core__bbox,5.52 10.88 2914.1 3508.8
design__io,645
design__die__area,1.02784E+7
design__core__area,1.0174E+7
design__instance__area,90000
design__instance__count__stdcell,0
design__instance__area__stdcell,0
design__instance__count__macros,1
design__instance__area__macros,90000
design__instance__utilization,0.0088461
design__instance__utilization__stdcell,0
design__instance__count__class:macro,1
flow__warnings__count,1
flow__errors__count,0
design__power_grid_violation__count__net:vssa1,0
design__power_grid_violation__count__net:vssd1,0
design__power_grid_violation__count__net:vccd1,0
design__power_grid_violation__count__net:vdda1,0
design__power_grid_violation__count__net:vdda2,0
design__power_grid_violation__count__net:vssd2,0
design__power_grid_violation__count__net:vssa2,0
design__power_grid_violation__count__net:vccd2,0
design__power_grid_violation__count,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,581636
design__violations,0
antenna__violating__nets,8
antenna__violating__pins,8
route__antenna_violation__count,8
route__net,637
route__net__special,8
route__drc_errors__iter:1,1054
route__wirelength__iter:1,597573
route__drc_errors__iter:2,82
route__wirelength__iter:2,597463
route__drc_errors__iter:3,35
route__wirelength__iter:3,597314
route__drc_errors__iter:4,3
route__wirelength__iter:4,597337
route__drc_errors__iter:5,3
route__wirelength__iter:5,597337
route__drc_errors__iter:6,2
route__wirelength__iter:6,597337
route__drc_errors__iter:7,1
route__wirelength__iter:7,597337
route__drc_errors__iter:8,1
route__wirelength__iter:8,597337
route__drc_errors__iter:9,1
route__wirelength__iter:9,597337
route__drc_errors__iter:10,1
route__wirelength__iter:10,597337
route__drc_errors__iter:11,0
route__wirelength__iter:11,597338
route__drc_errors,0
route__wirelength,597338
route__vias,1301
route__vias__singlecut,1301
route__vias__multicut,0
design__disconnected_pin__count,318
design__critical_disconnected_pin__count,0
route__wirelength__max,6167.08
timing__unannotated_net__count__corner:nom_tt_025C_1v80,541
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,541
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,541
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
timing__unannotated_net__count__corner:min_tt_025C_1v80,541
timing__unannotated_net_filtered__count__corner:min_tt_025C_1v80,0
timing__unannotated_net__count__corner:min_ss_100C_1v60,541
timing__unannotated_net_filtered__count__corner:min_ss_100C_1v60,0
timing__unannotated_net__count__corner:min_ff_n40C_1v95,541
timing__unannotated_net_filtered__count__corner:min_ff_n40C_1v95,0
timing__unannotated_net__count__corner:max_tt_025C_1v80,541
timing__unannotated_net_filtered__count__corner:max_tt_025C_1v80,0
timing__unannotated_net__count__corner:max_ss_100C_1v60,541
timing__unannotated_net_filtered__count__corner:max_ss_100C_1v60,0
timing__unannotated_net__count__corner:max_ff_n40C_1v95,541
timing__unannotated_net_filtered__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count,541
timing__unannotated_net_filtered__count,0
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
